NOTE,id,Moy_Pontage_de_fissures,Moy_Comblage_de_trou_ou_Projection_d_enrobe,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement_de_tranchees
6.72,D10_PR0_0_PR0_200,0.0,0.0,0.35,0.05,0.0,0.05,0.0,0.05
9.83,D10_PR0_200_PR0_400,0.0,0.041666699999999994,0.125,0.08333330000000001,0.0,0.041666699999999994,0.0,0.041666699999999994
10.0,D10_PR0_400_PR0_600,0.0,0.035714300000000004,0.07142860000000001,0.035714300000000004,0.0,0.0,0.0,0.035714300000000004
8.55,D10_PR0_600_PR0_800,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0
9.9799,D10_PR0_800_PR0_999,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
10.0,D10_PR1_0_PR1_200,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
9.98,D10_PR1_200_PR1_400,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
10.0,D10_PR1_400_PR1_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR1_600_PR1_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0666667,0.0
10.0,D10_PR1_800_PR1_999,0.0,0.0,0.0,0.0,0.0,0.0,0.10582000000000001,0.0
10.0,D10_PR2_0_PR2_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.96,D10_PR2_200_PR2_400,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
10.0,D10_PR2_400_PR2_600,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
9.535,D10_PR2_600_PR2_800,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
8.231530000000001,D10_PR2_800_PR2_1003,0.0,0.0,0.514563,0.320388,0.0,0.0,0.09708739999999999,0.0
5.905,D10_PR3_0_PR3_200,0.0,0.0,0.3,0.1,0.0,0.0,0.5,0.0
10.0,D10_PR3_200_PR3_400,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
9.925,D10_PR3_400_PR3_600,0.0,0.0,0.11111099999999999,0.0,0.0,0.0,0.0,0.0
7.0,D10_PR3_600_PR3_800,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
9.96954,D10_PR3_800_PR3_997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR4_0_PR4_200,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
10.0,D10_PR4_200_PR4_400,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
10.0,D10_PR4_400_PR4_600,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0
10.0,D10_PR4_600_PR4_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR4_800_PR4_1001,0.0,0.0,0.0990099,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR5_0_PR5_200,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR5_200_PR5_400,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
9.98,D10_PR5_400_PR5_600,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
9.98,D10_PR5_600_PR5_800,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
9.99,D10_PR5_800_PR5_1000,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
9.98,D10_PR6_0_PR6_200,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
10.0,D10_PR6_200_PR6_400,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR6_400_PR6_600,0.0,0.0,0.0,0.0,0.0,0.0,0.22222199999999998,0.0
10.0,D10_PR6_600_PR6_800,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR6_800_PR6_1000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
10.0,D10_PR7_0_PR7_200,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0
10.0,D10_PR7_200_PR7_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR7_400_PR7_600,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
8.5689,D10_PR7_600_PR7_887,0.0,0.0,0.214286,0.14285699999999998,0.0,0.07142860000000001,0.07142860000000001,0.0
